name,df,p.value,adj.r.squared,nobs
Linear regression,1,2.7691091892283173e-21,0.1330059577957674,624
Effects (cubic),3,0.01676251855138673,0.5117083755712177,14
Intercepts (quadratic),2,0.0036313957883742382,0.5744724502215398,14
