name,df,p.value,adj.r.squared,nobs
All (linear),1,2.7691091892283173e-21,0.1330059577957674,624
Intercepts (quadratic),2,0.0023376608434864513,0.6819942636969634,12
Effects (cubic),3,0.04117740259615034,0.48271379220665844,12
