name,df,p.value,adj.r.squared,nobs
All (linear),1,2.7691091892283173e-21,0.1330059577957674,624
Intercepts (quadratic),2,0.024406121819528052,0.7656631183660196,7
Effects (cubic),3,0.017913403401469474,0.9028285837317243,7
