Lake_ID;Ergasilus.spp.;harpacticoid;ostracod;Daphnia.ambigua;Daphnia.catawba;Daphnia.dentifera;Daphnia.galeata.mendotae;Daphnia.longiremis;Daphnia.parvula;Daphnia.pulicaria;Daphnia.retrocurva;Daphnia.thorata;Daphnia.spp.;Acanthocyclops.robustus;Acanthocyclops.sp.;Cyclops.scutifer;Diacyclops.thomasi;Eucyclops.elegans;Eucyclops.pectinifer;Eucyclops.spp.;Mesocyclops.edax;Microcyclops.spp.;Orthocyclops.modestus;Tropocyclops.prasinus;cyclopoid.copepodid;Aglaodiaptomus.leptopus;Aglaodiaptomus.spatulocrenatus;Epischura.lacustris;Epischura.nevadensis;Epischura.spp.;Leptodiaptomus.ashlandi;Leptodiaptomus.minutus;Leptodiaptomus.nudus;Leptodiaptomus.sicilis;Leptodiaptomus.siciloides;Limnocalanus.macrurus;Onychodiaptomus.singuienus;Senecella.calanoides;Skistodiaptomus.oregonensis;Skistodiaptomus.pallidus;Skistodiaptomus.pygmaeus;Skistodiaptomus.reighardi;Skistodiaptomus.spp.;calanoid.copepodid;Acroperus.harpae;Alona.affinis;Alona.costata;Alona.guttata;Alona.spp.;Alonella.nana;Bosmina.longirostris;Camptocercus.spp.;Ceriodaphnia.lacustris;Ceriodaphnia.spp.;Chydorus.sphaericus;Diaphanosoma.birgei;Diaphanosoma.brachyurum;Diaphanosoma.spp.;Eubosmina.coregoni;Eubosmina.longispina;Eubosmina.tubicen;Holopedium.glacialis;Macrothrix.sp.;Picripleuroxus.denticulatus;Pleuroxus.procurvus;Polyphemus.pediculus;Sida.crystallina;Simocephalus.spp.;Daphnia.dubia;Daphnia.magna;Daphnia.similis;Diacyclops.navus;Macrocyclops.albidus;Mesocyclops.americanus;Acanthodiaptomus.denticornis;Aglaodiaptomus.clavipes;Aglaodiaptomus.forbesi;Epischura.nordenskioldi;Hesperodiaptomus.arcticus;Hesperodiaptomus.eiseni;Hesperodiaptomus.nevadensis;Hesperodiaptomus.spp.;Leptodiaptomus.pribilofensis;Leptodiaptomus.tyrrelli;Alona.intermedia;Alona.quadrangularis;Alonella.acutirostris;Ceriodaphnia.quadrangula;Dunhevedia.crassa;Eubosmina.spp.;Graptoleberis.testudinaria;Ilyocryptus.spp.;Latona.sp.;Moina.spp.;Cyclops.columbianus;Daphnia.middendorffiana;Eurycercus.spp.;Hesperodiaptomus.franciscanus;Hesperodiaptomus.kenai;Heterocope.septentrionalis;Onychodiaptomus.hesperus;Scapholeberis.spp.
06-102;0;0;0;0;19.8735415494351;0;1.30098450705649;0;0;0;0;0;0;0;0;0;0;0;0;0;1.42966501062238;0;0;2.17910063018527;0;0;0;0;0;5.19442407173813;0;30.1274879115631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0526427419050601;0;0;0.587058464176007;0;3.19830043464275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-103;0;0;0;0;0;0;29.6383452438132;0;0;61.9153435400429;2.25155908109467;0;0;0;0;37.7428159582513;0;0;0;0;28.6427970497643;0;0;10.8643361260128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.13280434472108;0;0;0;0;0;0;0;0;0;0;0;0.173467378716199;0;0;5.62101190506901;2.22600521585258;0;1.0381832675151;0;0;0.0925286120053336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-104;0;0;0;0;0;0;0.202519512027831;0;0;166.720074823637;0;0;0;0;0;0;0.311778948899912;0;0;0;33.7949937295618;0;0;0;0;0;0;15.130407715369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0370599429245945;0;0;0;0;0;0;0;0;0;0;0.0402721738519266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-124;0;0;0;0;0;0;8.27088716473007;0;0;11.2989553883253;0;0;0;0;0;0;3.08553735163632;0;0;0;0.592430231775876;0;0;0;0;0;0;16.7811759894384;0;0;0;5.74671289130756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.282792010993427;0;0;0;0;0;1.19817450344512;0;0;0.887181284636925;0;0.565180461055397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-125;0;0;0;0;0;0;0;0;0;0.521585031474302;0;0;0;19.3336722167272;0;0;0;0;0;0;1.22057853595603;0;0;0;0;0;0;18.0333499885338;0;0;0;0.99955122896266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00974398461263175;0;0;0;0;0;0;0;0;0;0;6.223747334896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-126;0;0;0;0;5.96789394100433;0;1.81820636381087;0;0;0;0;0;0;0;0;0;3.40179553634699;0;0;0;0;0;0;1.02567900336695;0;0;0;0;0;25.0907566945742;0;4.25526461431061;0;0;0;0;0;0;3.29837860267395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.805329158480246;0;0;0.558332441303954;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-127;0;0;0;0;0;0;0.102457947918933;0;0;0;0;0;0;0;0;0;0;0;0;0;7.0005429285882;0;0;2.5505304756003;0;0;0;0;0;0;0;16.9853290372705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.53575644180139;0;0;0.0749656100783402;0;0;2.42266521628663;0;0;0;0;122.582840224309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-128;0;0.052928986981475;0;0;0;0;0.468889380657806;0;0;111.985035475857;0;0;0;0;0;18.4081282892712;0;0;0;0;2.22838709313789;0;0;0;0;0;0;0.588212885455816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-129;0;0;0;0;0;0;14.4765823332262;0;0;0;0;0;0;10.0856217964351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.87609215322622;0;55.1626453100937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0966468405202916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06-130;0;0;0;0;0;0;51.2938013769112;0;0;13.5428286280937;0;0;0;0;0;0;0.0698074401068585;0;0;0;13.5451128478199;0;0;0;0;0;0;11.9284089852021;0;0;0;9.14320756718265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0658590891501229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
