lake_ID,lake_name,latitude,longitude,ecozone,area,size_class,watershed_area,max_depth,invivo_chla_surface,invivo_chla_bottom,filtered_chla_surface,surface_temp,watercolumn_temp,epilimnion_temp,hypolimnion_temp,tp_tube,tp_bottom,tn_tube,tn_bottom,tntp_ratio,zoo_richness,zoo_density
10-433,NA,52.635863,-108.567479,Prairies,0.166044,small,70.33361189,1.2,6.217527,8.407268,14.56565099,21.162138,21.2,21.162138,19.011619,134.3167487,107.8694954,0.96144647,0.92373072,7.158053477,5,183.62450498082083
10-434,NA,52.708506,-109.791664,Prairies,1.358772,medium,1081.826114,2.05,8.133928,8.407268,16.61693425,22.730881,22.7,22.730881,19.011619,83.90945195,107.8694954,0.82336897,0.92373072,9.812589057,8,1618.7474372188192
10-435,Manitou Lake,52.738966,-109.652625,Prairies,81.192742,large,12760.76932,15,3.967938,6.215194,3.339062294,21.071645,8.5,21,0.8,1737.690033,2219.428451,3.88911597,1.47030197,2.238095343,2,337.283790443489
10-436,Suffern Lake,52.638124,-109.898419,Prairies,0.285528,small,7.004211175,7.4,3.631215,4.014275,4.236828373,21.294679,21.2,21.3,21.038965,24.52950953,25.96135917,0.28038297,0.29121947,11.43043523,8,105.09801122622113
10-437,Radisson Lake,52.489493,-107.408292,Prairies,4.366936,medium,1479.222121,1.6,7.13951,8.407268,6.320196338,19.875052,19.3,19.875052,19.011619,204.0815006,107.8694954,2.67104447,0.92373072,13.08812637,5,9734.657979153006
10-438,Crookshanks Lake,51.860856,-109.311232,Prairies,0.336759,small,17.90740753,1.5,5.988294,5.335939,12.90159335,20.806773,20.8,20.806773,20.809842,351.2031917,107.8694954,1.06985197,0.92373072,3.046247857,5,1353.7959556928527
10-439,Atton Lake,52.84409,-108.859002,Prairies,1.193907,medium,31.06215705,14,7.13951,8.407268,3.564208676,19.875052,19.3,19.875052,19.011619,19.12558339,28.21139818,0.38495797,0.46549747,20.12790732,5,6255.009127657167
10-440,NA,52.720884,-108.51576,Prairies,0.674852,medium,10.26930206,1,6.909453,8.407268,3.647412234,21.282237,21.3,21.282237,19.011619,956.9730775,107.8694954,2.38305997,0.92373072,2.490205865,5,3526.792526654124
10-441,NA,52.980027,-107.810639,Prairies,0.31571,small,3.379109175,2,7.13951,8.407268,2.408864676,23.14291,23.2,23.14291,19.011619,63.69610443,107.8694954,1.16111947,0.92373072,18.22904996,6,408.5996193221429
10-442,Tramping Lake,52.003037,-108.784517,Prairies,12.97168,large,2398.653143,2.6,10.459468,8.407268,3.52188544,22.279765,22.3,22.279765,19.011619,581.4940345,107.8694954,4.14089597,0.92373072,7.121132332,5,4349.305573515008
10-443,NA,51.631497,-104.274473,Prairies,0.277793,small,1.517697383,3.2,53.257824,56.541127,10.37687138,18.303964,18.3,18.303964,18.281253,147.5629101,107.8694954,1.77273897,0.92373072,12.01344544,5,714.9886255308282
10-444,Murray Lake,53.037189,-108.278678,Prairies,11.621124,large,2161.578501,6.3,8.395225,9.268359,9.803570314,19.238439,19.2,19.238439,19.23123,55.7813767,107.8694954,0.60899897,0.92373072,10.9176038,7,497.0684083141013
10-445,Schmidt Lake,52.670482,-109.211384,Prairies,0.450521,small,22.25324389,3.7,5.354891,5.735253,4.759765262,18.88389,18.8,18.88389,18.804904,204.0815006,107.8694954,1.14152597,0.92373072,8.376377199,3,9365.970466676228
10-446,Acton Lake,52.916564,-107.873935,Prairies,1.191197,medium,28.94833138,1.9,21.726039,24.178079,12.07311641,17.380974,17.4,17.380974,17.351887,85.65071376,107.8694954,3.05378797,0.92373072,35.6539699,4,912.0456844884352
10-448,Redberry Lake,52.689028,-107.159874,Prairies,48.391889,large,1168.909026,18,0.149902,5.172329,1.475658596,18.38192,10.7,18.4,2.5,35.0201783,52.85694983,1.56883647,2.13559047,44.79807203,2,60.4383895044507
10-452,Lytwyns Lake,51.597074,-99.849842,Boreal Plains,0.269097,small,3.249375119,1.2,10.690825,5.4156575,10.64595505,15.605735,15.6,15.605735,18.3036555,61.81672194,83.53575618,2.42684647,0.46700147,39.25873767,7,181.8201569229126
10-453,NA,52.671989,-108.310133,Prairies,0.534746,medium,82.3925947,2,4.702627,8.407268,4.690255609,17.982397,18,17.982397,19.011619,142.7551713,107.8694954,3.13768397,0.92373072,21.97947676,4,388.8633094760311
10-597,Muir Lake,53.623604,-113.95501,Boreal Plains,0.290301,small,4.223596969,5.49,6.472381,6.987795,11.16033164,17.7857,17.3,17.8,16.898569,44.14,83.53575618,0.78435636500000006,0.46700147,17.76974094,11,5.66728311
10-598,Astotin Lake,53.678768,-112.853935,Prairies,5.468172,large,48.37781946,6.1,12.175846,10.06879,44.92921752,18.525145,18.2,18.4,17.4,125.83,107.8694954,1.075011865,0.92373072,8.543366963,8,1086.995054002
10-599,Bruce Lake,52.382773,-110.969002,Prairies,1.076741,medium,31.90976315,0.25,163.9657784,8.407268,381.4863983,16.91207398,16.9,16.91207398,19.011619,10053.03,107.8694954,1.14222597,0.92373072,8.376377199,NA,NA
10-600,NA,52.695158,-111.374896,Prairies,0.670089,medium,2.073041622,2.1,5.38582,5.211703,43.5515515,19.017829,19,19.017829,19.011619,111.79,107.8694954,2.173115365,0.92373072,19.43926438,7,107.801009969
10-601,NA,53.547125,-111.801211,Prairies,0.247749,small,0.966754165,1.1,8.437683,8.293995,0.898088978,21.959577,21.2,22,20.9,4556.07,107.8694954,2.481156365,0.92373072,0.544582582,5,75.973196535
11-316,Slocan Lake,49.932203,-117.393357,Montane Cordillera,68.64717,large,1817.816673,94,0.059427,0.039625,0.97233184,13.574866,7.5,13.7,5.9,13.08612611,15.5639131,0.10614247,0.282172615,8.111068861,3,9.491223639152576
11-317,Victor Lake,50.957539,-118.396542,Montane Cordillera,0.087261,small,18.45683617,16,0.458508,0.851905,0.475447289,17.720603,9,17.7,8.354714,6.523338939,7.460879963,0.06051997,0.282172615,9.277452937,4,1.062091986172354
11-342,Whiteswan Lake,50.144066,-115.474903,Montane Cordillera,4.0642760000000004,medium,73.75266066,18,0.322943,1.680791,0.053412018,18.856109,15.7,18.7,11.1,5.997460899,8.059093654,0.07298747,0.025,12.16972836,3,150.29842873401165
11-343,Wasa Lake,49.779692,-115.735377,Montane Cordillera,1.049014,medium,20.42738779,14,0.976127,8.65401,1.121636622,22.694148,19.5,22.6,11.7,7.612747317,22.71972634,0.10866647,0.16616047,14.2742778,NA,NA
11-344,Tie Lake,49.410863,-115.327295,Montane Cordillera,1.35875,medium,14.08325476,4.5,1.322539,1.897982,2.668600498,24.188034,24.2,24.188034,24.09614,15.07593314,73.78,0.43235597,0.282172615,28.67855449,8,66.84855206495983
11-345,Surveyors Lake,49.245773,-115.235662,Montane Cordillera,0.13009,small,0.680137765,18,0.57062,3.394333,1.079371141,23.288897,16.7,23.2,7.8,10.77732636,57.83694294,0.25225947,0.31939847,23.4064982,4,270.9018611656701
11-470,Dunalter Lake,54.470753,-126.755752,Montane Cordillera,0.214665,small,2.084881957,18.5,3.641432,3.235177,2.288163911,19.638051,9.2,19.6,5.5,18.94,262,0.216412865,0.143429865,11.42623363,4,27.748270424
11-471,Round Lake,54.656922,-126.924746,Montane Cordillera,1.734901,medium,28.22909506,22.1,3.006208,1.710344,6.467878756,20.823158,10.7,20.8,6.7,19.12,234.04,0.310855865,0.356211365,16.25815194,5,54.026437371
11-476,Mulvaney Lake,54.077005,-125.757675,Montane Cordillera,0.253119,small,2.791545418,8.4,3.57108,4.29392,45.45624969,18.697244,15.2,19.5,10.4,51.87,597.41,0.729538365,1.192911365,14.06474581,3,235.084297728
11-477,Hanson Lake,54.242465,-125.061656,Montane Cordillera,1.683775,medium,94.06463954,7,3.558507,4.871249,8.353700223,17.663593,17.2,18.1,17,32.92,36.21,0.173052865,0.161706865,5.256769897,5,778.709955881
11-478,Ferguson Lake,54.037199,-122.84621,Montane Cordillera,0.160296,small,4.788972962,4.8,9.942023,13.590231,10.37939156,20.097252,14.8,20.2,7.7,23.99,51.97,0.268530365,0.377293865,11.19342914,6,68.070261746
11-479,NA,53.42795,-124.545783,Montane Cordillera,0.505207,medium,31.76279252,9.2,3.391861,4.530027,2.462804356,16.975047,13.3,16.9,8.9,19.07,26.04,0.247668115,0.253754365,10.27058906,6,154.710138869
11-480,Hobson Lake,53.580617,-124.73149,Montane Cordillera,0.64262,medium,4.874047616,7.9,2.653692,3.355892,4.5643176,17.603549,17.6,17.603549,17.518199,16.63,73.78,0.344293365,0.282172615,20.70314883,7,218.41607803399998
11-481,Fish Lake,53.598731,-124.889241,Montane Cordillera,0.443919,small,7.884036488,13.1,3.750666,3.523841,10.93686276,17.877709,12.2,17.7,8,37.8,381.77,0.287378865,0.366051865,7.602615476,7,321.37365346499996
11-482,NA,53.875399,-124.755299,Montane Cordillera,0.110364,small,0.74766597,7.2,5.305531,11.666476,6.438699823,17.041162,15.6,16.9,12.491402,24.44,56.91,0.214982865,0.224326365,8.7963529050000009,5,61.746441868000005
11-483,Co-op Lake,54.186152,-125.428674,Montane Cordillera,0.308484,small,2.269669642,10.4,4.588351,3.533808,4.570204578,18.18248,13.8,18,8.6,24.8,312.58,0.192981865,0.182438865,7.781526815,5,121.08826332999999
11-484,NA,53.977642,-125.898396,Montane Cordillera,0.329639,small,4.470810889,12,7.431179,4.108227,52.15468534,16.680267,11.1,16.5,7.7,71.44,434.02,1.112946365,1.298316865,15.57875651,3,25.982260087
11-485,Eakin Lake,53.810107,-125.913779,Montane Cordillera,0.415278,small,2.204705413,9.2,3.892557,3.713163,2.374735956,17.063073,15.6,17,10.1,18.06,23.33,0.375216365,0.350819865,20.77609994,6,279.446872988
11-486,NA,53.9938,-125.981445,Montane Cordillera,0.176897,small,71.1916755,8.1,5.841557,5.520216,108.1496912,18.093037,14.1,18,10,84.43,821.43,1.300624365,0.346864365,15.40476566,4,389.62403265
11-487,Totem Pole Lake,53.966067,-125.944652,Montane Cordillera,0.251245,small,45.9378675,3.2,25.64101,15.325758,19.17061827,17.101866,16.6,17.7,16.2,82,78.41,0.422248865,0.448534365,5.149376402,4,553.479681117
11-488,Tatalaska Lake,53.938458,-125.907128,Montane Cordillera,1.603847,medium,15.20214929,14.6,3.201218,2.63589,10.85676836,19.218532,11.8,19.3,8.3,57.85,530.55,0.628514865,0.423333365,10.86456119,3,62.82388881199999
11-489,Mollice Lake,53.957671,-125.714231,Montane Cordillera,1.927904,medium,31.17286063,19.1,3.744966,3.482295,3.235691689,20.374536,10,20.6,6.7,20.31,451.23,0.287452865,0.362012365,14.1532676,5,30.277249363999996
11-490,Eena Lake,54.049179,-123.018163,Montane Cordillera,0.525426,medium,1.888412701,23.3,0.820795,3.111133,1.714449378,21.327442,10.7,21.3,5.4,18.87,737.41,0.329475365,0.785512865,17.46027371,6,220.842624549
11-491,Chief Lake,54.120806,-123.004988,Montane Cordillera,7.081227,large,199.1595225,6.1,5.391282,9.023629,26.85472626,19.827683,18.9,19.8,17.5,38.7,70.28,0.625049865,0.790688865,16.1511593,8,233.221419197
11-492,Nukko Lake,54.064509,-123.007832,Montane Cordillera,4.234392,medium,130.6072261,17.2,1.555873,1.523531,2.719685289,19.692413,11.7,19.7,6.4,17.65,161.06,0.247668115,0.352604365,10.27058906,8,111.13441827099999
11-493,NA,54.008382,-123.135854,Montane Cordillera,0.128366,small,0.547925597,4.4,5.572654,9.065649,7.534937778,18.807344,17,18.8,14.333099,158.96,875.11,1.180659365,0.282172615,7.427399126,3,235.748888711
11-494,Nulki Lake,53.90613,-124.137247,Montane Cordillera,15.699943,large,334.2617459,7.6,4.517951,1.713275,38.17386129,19.854759,18.9,19.7,17.1,124.66,406.86,0.633583365,0.691886365,5.082491296,5,200.15276289999997
11-495,Williams Lake,52.118825,-122.075003,Montane Cordillera,6.845074,large,2329.146303,24.1,2.628653,2.398667,12.58742169,21.412054,12,21.4,6.1,61.41,234.2,0.247668115,0.282172615,10.27058906,5,101.139284806
11-496,Cummings Lake,52.086749,-121.952157,Montane Cordillera,0.452485,small,4.090048319,14.8,12.285067,3.448887,12.22593369,21.635195,10.5,21.6,4.6,117.11,1802.66,0.716997365,2.542120365,6.122426479,4,121.070494376
11-497,NA,52.000623,-122.173033,Montane Cordillera,0.142179,small,45.43078236,2,6.480778,3.180357,71.11047813,18.563152,18.6,18.563152,8.25,149.36,73.78,1.893165865,0.282172615,12.67518656,8,37.64917974299999
11-498,Chaunigan Lake,51.571867,-123.893069,Montane Cordillera,4.354143,medium,31.81314756,52.8,0.918006,1.927681,1.231264356,15.9778,7.8,15.9,5.5,13.36,38.89,0.174121865,0.166728365,13.03307373,4,27.069603055
11-499,Konni Lake,51.473574,-123.887461,Montane Cordillera,5.599651,large,50.41977991,29.9,1.354483,2.291133,0.973969956,16.713187,12.1,16.6,8,10.62,19.63,0.247668115,0.084286365,10.27058906,7,75.014234428
11-500,NA,52.15161,-124.512345,Montane Cordillera,0.350338,small,166.4893254,2.4,3.508194,3.180357,4.945336978,15.243483,15.2,15.243483,8.25,46.67,73.78,0.354997865,0.282172615,7.606553782,6,596.927518618
11-501,Nimpo Lake,52.340193,-125.204735,Montane Cordillera,9.229628,large,625.5644779,24.4,4.350754,1.528948,7.475182,16.13576,14.1,15.9,9.6,24.38,98.6,0.234621365,0.449828365,9.623517842,7,92.861077461
11-502,Blue Lake,52.341465,-122.236095,Montane Cordillera,0.390779,small,63.17150486,22.7,0.345921,4.249311,1.131500756,18.584501,11.2,18.4,5.4,8.03,70.72,0.116145865,0.410939365,14.46399315,7,91.624122513
11-503,Clearwater Lake,52.011725,-125.008155,Montane Cordillera,2.128724,medium,69.65758987,5.2,4.951834,4.888096,5.435865956,14.935062,14.8,14.935062,14.70268,24.43,73.78,0.515932865,0.282172615,21.11882378,10,65.792438155
11-508,Italia Lake,51.83278,-120.388941,Montane Cordillera,1.274679,medium,40.8543813,30,1.942929,1.722679,1.015631645,15.923719,6.5,15.9,4.7,5.96,9.21,0.130405865,0.069234365,21.88017869,6,45.055754239
11-509,Latremouille Lake,51.491893,-120.341789,Montane Cordillera,0.772349,medium,19.14947131,36,1.146162,0.670062,0.968338934,16.16584,7.8,16.1,4.8,9.21,16.04,0.093474865,0.145576865,10.14927959,6,166.87199991600002
11-510,Bridge Lake,51.501772,-120.751359,Montane Cordillera,13.361896,large,154.2415643,47,0.585098,0.671975,1.734728934,16.111263,6.9,16.1,4.9,17.94,54.5,0.175834865,0.263256365,9.801274526,6,144.87317682699998
11-511,Otter Lake,51.530721,-120.678772,Montane Cordillera,0.548153,medium,11.39275305,17,2.063903,2.749805,2.719350578,16.901437,9.7,16.8,5.3,13.35,374.98,0.203870365,0.228561865,15.27118839,6,135.235410584
11-512,French Lake,51.592882,-120.764438,Montane Cordillera,0.622784,medium,4.104812741,28.8,1.324297,1.764871,1.712500178,16.776923,7,16.7,4.4,10.34,201.58,0.139663865,0.173873365,13.50714362,5,59.17359787699999
11-513,Bouchie Lake,53.035093,-122.626301,Montane Cordillera,1.32326,medium,51.49109869,7.3,2.347573,1.363308,16.59147227,19.637879,18.4,19.5,15.5,122.05,73.78,0.546421365,0.282172615,4.4770288,6,1030.599371026
11-538,Rose Lake,54.398593,-126.023267,Montane Cordillera,0.187209,small,1.107041788,5.2,2.131356,7.130971,6.376463245,20.011243,19.8,20.011243,19.67404,35.64,73.78,0.286537365,0.282172615,8.039768939,4,109.933659559
11-539,Tachick Lake,53.95755,-124.191784,Montane Cordillera,20.604323,large,457.4141852,7.6,4.48509,5.745652,72.67214173,18.798186,18.7,18.798186,18.516697,170.99,73.78,0.786471865,0.282172615,4.59951965,4,313.38400624
11-540,NA,54.574531,-123.807885,Montane Cordillera,0.123061,small,0.903664968,6.1,19.932249,18.123118,40.11280174,17.594874,15.5,17.6,10.7,40.52,73.78,0.246406865,0.282172615,6.081117103,NA,NA
11-541,Takatoot Lake,55.120772,-125.196624,Montane Cordillera,7.184993,large,104.4984988,43.3,3.926133,1.923881,2.479717111,16.256406,8.7,16.2,6,9.33,12.66,0.120649365,0.282172615,12.93133601,4,31.297749017
11-542,Witch Lake,55.131569,-124.482396,Montane Cordillera,15.058388,large,183.3701268,50,1.563791,0.992473,1.376332089,15.206521,8.8,15.1,6.1,11.16,6.85,0.054421365,0.096082365,4.876466398,5,19.779592406
11-543,NA,55.334542,-125.318096,Montane Cordillera,0.157174,small,6.489905828,12,2.893413,3.398672,1.678556533,16.041484,9.6,16,5.7,10.2,23.4,0.105997365,0.158394865,10.39189853,6,23.417908670999996
11-544,MacDonald Lake,54.035583,-125.040308,Montane Cordillera,0.171858,small,13.28913643,1.8,1.436698,3.180357,1.200628445,14.224943,14.2,14.224943,8.25,13.85,73.78,0.275039365,0.282172615,19.85843791,7,60.311372987000006
11-545,Seas Lake,54.051353,-124.777216,Montane Cordillera,0.344658,small,3.852963163,5,7.219337,4.460578,17.3714476,17.234955,17,17.234955,16.880528,237.05,73.78,1.244810865,0.282172615,5.251258659,3,541.1272851
